2026-08-08 00:09:36 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m55s110ms453µs500ns).
2026-08-08 00:09:37 [http-nio-8080-exec-3] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:09:37 [http-nio-8080-exec-3] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:09:37 [http-nio-8080-exec-3] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 12ms
2026-08-08 00:09:37 [http-nio-8080-exec-4] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:09:37 [http-nio-8080-exec-4] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:09:37 [http-nio-8080-exec-4] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 27ms
2026-08-08 00:10:17 [http-nio-8080-exec-7] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:10:17 [http-nio-8080-exec-7] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:10:17 [http-nio-8080-exec-7] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 16ms
2026-08-08 00:10:17 [http-nio-8080-exec-8] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:10:17 [http-nio-8080-exec-8] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:10:17 [http-nio-8080-exec-8] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 12ms
2026-08-08 00:10:28 [http-nio-8080-exec-2] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:10:28 [http-nio-8080-exec-2] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:10:28 [http-nio-8080-exec-2] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 35ms
2026-08-08 00:10:28 [http-nio-8080-exec-1] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:10:28 [http-nio-8080-exec-1] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:10:28 [http-nio-8080-exec-1] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 13ms
2026-08-08 00:11:51 [http-nio-8080-exec-5] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:11:51 [http-nio-8080-exec-5] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:11:51 [http-nio-8080-exec-5] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 14ms
2026-08-08 00:11:51 [http-nio-8080-exec-6] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:11:51 [http-nio-8080-exec-6] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:11:51 [http-nio-8080-exec-6] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 13ms
2026-08-08 00:16:24 [http-nio-8080-exec-9] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:16:24 [http-nio-8080-exec-9] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:16:24 [http-nio-8080-exec-10] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:16:24 [http-nio-8080-exec-9] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 18ms
2026-08-08 00:16:24 [http-nio-8080-exec-10] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:16:24 [http-nio-8080-exec-10] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 14ms
2026-08-08 00:16:32 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6m55s561ms922µs200ns).
2026-08-08 00:42:56 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m24s30ms725µs).
2026-08-08 00:42:59 [http-nio-8080-exec-4] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:42:59 [http-nio-8080-exec-3] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Fetching all students
2026-08-08 00:42:59 [http-nio-8080-exec-4] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:42:59 [http-nio-8080-exec-4] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 18ms
2026-08-08 00:42:59 [http-nio-8080-exec-3] INFO  com.studentmanagement.service.impl.StudentServiceImpl - Total students found : 41
2026-08-08 00:42:59 [http-nio-8080-exec-3] INFO  com.studentmanagement.service.impl.StudentServiceImpl - findAllStudents took: 35ms
